articleLink,externalLink,title,rel,dateOfPost
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Linchpin-Are-Indispensable-Seth-Godin/dp/1591844096/ref=sr_1_3?s=books&ie=UTF8&qid=1347391576&sr=1-3&keywords=Seth+Godin?tag=thebluswe-20,Linchpin: Are You Indispensable?,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Poke-Box-Seth-Godin/dp/1936719002/ref=sr_1_4?s=books&ie=UTF8&qid=1347391576&sr=1-4&keywords=Seth+Godin?tag=thebluswe-20,Poke The Box,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.gladwell.com/,Malcolm Gladwell,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.stevenberlinjohnson.com/,Steven Johnson,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Where-Good-Ideas-Come-Innovation/dp/1594485380/ref=sr_1_1?s=books&ie=UTF8&qid=1347393333&sr=1-1&keywords=steven+johnson?ref=thebluswe-20,Where Good Ideas Come From: The Natural History of Innovation,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Future-Perfect-Case-Progress-Networked/dp/1594488207/ref=sr_1_3?s=books&ie=UTF8&qid=1347393333&sr=1-3&keywords=steven+johnson?ref=thebluswe-20,Future Perfect: The Case for Progress in a Networked Age,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.backpocketcoo.com/index.html,Cameron Herold,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://plus.google.com/113390679691036376988/posts,Dan Cobley,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/Newton's_laws_of_motion,Newton’s second law of motion,,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/Uncertainty_principle,uncertainty principle,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/Scientific_method,scientific method,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics,second law of thermodynamics,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://37signals.com/,37signals,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://twitter.com/dhh,David Heinemeier Hansson,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.danpink.com/,Daniel Pink,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Drive-Surprising-Truth-About-Motivates/dp/1594484805/ref=sr_1_3?s=books&ie=UTF8&qid=1347399177&sr=1-3&keywords=daniel+pink?ref=thebluswe-20,Drive: The Surprising Truth Abou What Motivates Us,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Adventures-Johnny-Bunko-Career-Guide/dp/1594482918/ref=sr_1_5?s=books&ie=UTF8&qid=1347399177&sr=1-5&keywords=daniel+pink?ref=thebluswe-20,The Adventures of Johnny Bunko: The Last Career Guide You’ll Ever Need,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.richardstjohn.com/,Richard St. John,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,https://www.amazon.com/Traits-Successful-People-Have-Common/dp/0973900970/ref=sr_1_2?s=books&ie=UTF8&qid=1347400857&sr=1-2&keywords=8+to+be+great?ref=thebluswe-20,The 8 Traits Successful People Have in Common: 8 to Be Great,nofollow,11-9-2012
https://inc42.com/entrepreneurship/12-must-watch-ted-talks-for-entrepreneurs/,http://www.tedxbitshyderabad.com,Click here to goto the website: www.tedxbitshyderabad.com,nofollow,11-9-2012
https://inc42.com/startups/localever-property-buying-goes-social/,http://www.LocalEver.com,www.LocalEver.com,nofollow,9-9-2012
https://inc42.com/buzz/startup-events/the-lean-startup-machine-experience/,,Ranga Yarlagadda,,4-9-2012
https://inc42.com/entrepreneurship/phobia-for-mba-jargons/,http://www.plainenglish.co.uk/examples/gobbledygook-generator.html,Gobbledygook generator,nofollow,22-8-2012
https://inc42.com/startups/interviews/helping-others-to-live-their-dreams-twenty19-com/,http://twenty19.com/,twenty19.com,nofollow,11-7-2012
https://inc42.com/buzz/startup-events/iweekend-partners-with-inc42-to-come-to-hyderabad-this-august/,http://iweekend.org/hyderabad/, http://iweekend.org/hyderabad/,nofollow,4-7-2012
https://inc42.com/buzz/startup-events/iweekend-partners-with-inc42-to-come-to-hyderabad-this-august/,http://iweekend.org/hyderabad/participate/,http://iweekend.org/hyderabad/participate/,nofollow,4-7-2012
https://inc42.com/resources/open-source-for-entrepreneurs-linux/,http://http://linuxmint.com/,Linux Mint ,nofollow,29-6-2012
https://inc42.com/resources/open-source-for-entrepreneurs-linux/,https://www.ubuntu.com/,Ubuntu ,nofollow,29-6-2012
https://inc42.com/resources/open-source-for-entrepreneurs-linux/,https://www.redhat.com/products/,Red Hat Linux and Fedora ,nofollow,29-6-2012
https://inc42.com/resources/open-source-for-entrepreneurs-linux/,https://www.opensuse.org/en/,SUSE ,nofollow,29-6-2012
https://inc42.com/startups/interviews/his-kota-safari/,,https://www.facebook.com/OrderedCheeseDeliveredChalk,,10-1-2013
https://inc42.com/startups/interviews/his-kota-safari/,http://www.homeshop18.com/ordered-cheese-delivered-chalk/author:shobhit-agarwal/isbn:9789380914268/books/fiction/product:30142092/cid:11103/,“Ordered Cheese Delivered Chalk”. ,nofollow,10-1-2013
https://inc42.com/buzz/startup-events/e-summit-13/,https://esummit2013.eventbrite.com,esummit2013.eventbrite.com,nofollow,4-1-2013
https://inc42.com/entrepreneurship/4-inspiring-ted-talks-for-all-entrepreneurs/,http://www.sethgodin.com/purple/,Purple Cow,nofollow,29-0-2013
https://inc42.com/entrepreneurship/4-inspiring-ted-talks-for-all-entrepreneurs/,https://www.wired.com/techbiz/media/news/1998/10/15555,Yoyodyne,nofollow,29-0-2013
https://inc42.com/entrepreneurship/4-inspiring-ted-talks-for-all-entrepreneurs/,http://crushitbook.com/,Crush It!,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen.html,Hans Rosling,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,https://www.amazon.com/Raving-Fans-Revolutionary-Approach-Customer/dp/0688123163,raging fans,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://planningcommission.nic.in/reports/sereport/ser/ser_sme1910.pdf,1200+ Industrial clusters,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://bestengagingcommunities.com/2012/12/09/microsoft-accelerator-research-on-starts-and-closures-in-indian-tech-startups/,"350 odd brilliant, fraction",nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,https://i2.wp.com/www.vijayanand.name/blog/wp-content/uploads/2013/01/Fraction1.png,,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://productnation.in/indian-start-up-ecosystem-in-a-sweet-sour-spot/,sweet and sour,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://economictimes.indiatimes.com/news/emerging-businesses/entrepreneurs/why-indian-middle-class-family-does-not-encourage-aspiring-entrepreneur/articleshow/18175429.cms?intenttarget=no,wild wild west,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://thenextweb.com/in/2011/05/13/an-indian-entrepreneur-visits-new-york-i-was-born-in-the-wrong-country/,born in the wrong country,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://www.startupfestival.co/, fooling themselves into believing that we are somehow there.,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://bestengagingcommunities.com/2013/01/13/how-to-get-to-1000-startups-in-india-ever-year/, by one,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://www.godinchief.com/entry/how-can-india-have-1000-startups/,two people,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://www.vijayanand.name/2013/01/getting-to-1000-startups-a-year/,many who share this vision,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://www.startupvillage.in/svblog/?author=2,are willing ,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://bestengagingcommunities.com/2013/01/18/dont-ever-worry-about-the-cynics-do-good-for-the-sake-of-it/,non-zero sum game,nofollow,29-0-2013
https://inc42.com/entrepreneurship/you-a-tech-startup-you-are-a-fraction/,http://www.nextbigwhat.com/indian-startup-braindrain-to-america-297/, move out of India,nofollow,29-0-2013
